gesture,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,timestamp
point,0.5517077001007625,0.4805299543004469,0.3173955645353476,0.3375566833520864,1.181335905291215,0.3599491870529079,0.28700391926965596,0.24678595416438898,1.0,0.31573936819328036,0.26126610821847446,0.23491320808877364,0.7248477004474968,0.37431036192783673,0.16443666926148798,0.0887223984425997,0.5395542977208403,0.2985434955471176,0.10022773956626646,0.05114333556054411,1.521288105209873,2.0512804648848624,1.7468908852251182,1.0225846393104228,0.8137319495038653,2.414791129313446,3.0656755851138553,2.962926124573824,2.778744242592578,2.671112091569894,1.5180658004865664,2025-12-01T16:48:27.854065
point,0.5288075025252083,0.4577235659378621,0.32161194408407845,0.34031096628499957,1.1669063716623034,0.35658021232516,0.25762810782075574,0.22933525233204402,1.0,0.34442128169023517,0.25415726132137967,0.2265401293147175,0.761669132345708,0.31847935233059294,0.16842779378048317,0.11539415285073373,0.6111751772500793,0.25012169345746266,0.08501823172872261,0.04722280635231317,1.4740950159655875,1.9582182707539246,1.7330628042568392,1.048571382462089,0.8607064334098607,2.380435615849776,2.9470839976711964,2.7994673283333014,2.6122422056862558,2.660512490976874,1.2964631168992262,2025-12-01T16:48:27.886994
point,0.524648401305342,0.48545871344028396,0.3459634517901352,0.35340581861202625,1.1900131892858532,0.42240473846403,0.2989328847166587,0.24348624550935277,0.9999999999999999,0.39178533983259023,0.290628491516234,0.25451779922388534,0.7433182821769219,0.36795573852125274,0.13317619509105613,0.06930070014095356,0.6252531352175237,0.27223005484902585,0.04040491978418787,0.0644434866741496,1.5351963949794944,2.10380502523378,1.8628842231705873,0.923438603561189,0.8113711489523221,2.380823458400326,2.95137089233643,2.7582331076349553,2.0471975822904462,1.6499530024421567,1.3993068681837062,2025-12-01T16:48:27.918867
point,0.5547985916898104,0.5140509750683109,0.41021709905069564,0.4005749691613371,1.201474232433085,0.4048596283889044,0.2907269456599618,0.2547066539616574,0.9999999999999999,0.4005441133811338,0.27944679675372097,0.24929025138696778,0.7601903463387953,0.38370245986583323,0.10636701306734771,0.046798884106980236,0.6807582710006411,0.2836536400856166,0.031560595142185816,0.07098068248389813,1.695640369483582,2.0826749969625666,1.887587615381663,1.0232063148372121,0.9132456978900009,2.4000388993187607,2.9461538681304034,2.890845878049019,1.9647244278355098,1.6314766835485193,1.2422565590841121,2025-12-01T16:48:27.951430
point,0.6057928734870747,0.538614704506559,0.4269119805308133,0.42032903448705433,1.222901171775261,0.4172650240596829,0.2985298274880051,0.24480740290979564,0.9999999999999999,0.4272101558027127,0.2920107475690463,0.24011660440687235,0.7451389281479707,0.4439605938810833,0.08170538710749554,0.08316368017846573,0.6210506860687302,0.3740208101500912,0.04214072188026513,0.12369003082936295,1.7299134194054475,2.1225505729396184,1.9042373370429526,0.9704396199600709,0.7826897877793171,2.417352485518749,2.9680532207111865,2.8527019867476717,1.801017708395017,0.7177115747696902,1.2900179874255606,2025-12-01T16:48:27.983136
point,0.49816368448522186,0.47542593488050683,0.2964889102647125,0.24849336624144153,1.1713294961236314,0.3191520452134793,0.23598455968775525,0.16702468785586344,1.0,0.3786682646760059,0.22850540991165777,0.11951897111417957,0.8288146692203219,0.3520867870555327,0.14554174426782934,0.05886838370514745,0.703284614114398,0.2728901763451341,0.09022237282831384,0.01256145347033816,1.374993742899282,1.386184375840386,1.229589252512268,0.8915651987089727,0.8892061435565056,2.707421406345429,2.305614543959063,2.448668786100026,2.203845931714169,2.4029136994293623,0.23478910074544698,2025-12-01T16:48:28.167659
point,0.6148452991257999,0.5374036854768531,0.35343438229924345,0.296017318982179,1.2812508878368638,0.43477810023949204,0.25279495720446854,0.18050026300797467,1.0,0.8570040517936561,0.1449632673699817,0.18747408353715825,0.6813552661997552,0.8057602008113087,0.1436197136508863,0.23502132298855463,0.4949697179792705,0.595169046744979,0.1242419988852098,0.22265732129390564,1.6865408069459158,1.728880773993901,1.0356654115788182,0.7877011543334488,0.6610940926359967,2.663268927696211,3.02942319873899,1.5119468447340114,0.6033942370024177,0.48350601335753934,0.2597368365420564,2025-12-01T16:48:28.217900
point,0.6421114887447633,0.5205455416945077,0.3577793471247831,0.3025985260333456,1.2916066874383536,0.543680038460779,0.30300658958657073,0.24598479768289475,1.0,1.0661583272225055,0.11042310566902705,0.18614345628714146,0.7088697832873289,1.01746747774896,0.13836857762172153,0.24839432159216845,0.6272018362262514,0.7822414533263754,0.09020278779302975,0.22929365502704824,1.717414381197541,1.8528258938157525,1.1904110255195477,0.9295240814889457,0.8993906138152962,2.6358253230409283,2.9584406420010385,1.6241084597275317,0.5141497461874831,0.2953537571201661,0.31041677539797763,2025-12-01T16:48:28.249455
point,0.6239627058890266,0.5367721489857722,0.4980514399094167,0.45879114712849606,1.2876495027027213,0.4587315231729412,0.25060609096943515,0.1634076619809311,1.0,1.157160979408734,0.18015008186734024,0.19576336269652406,0.7428268857714135,1.1553677510450742,0.11206548955078408,0.2360591575647854,0.793011301080757,0.9451654980740428,0.035022236726708435,0.22714941224498889,1.9278826330776209,1.8267032515612724,1.3291202570180285,1.1625035336267031,1.260987775863259,2.520812564409151,2.642997313026125,2.15168484938797,1.430993017342807,1.5362471407095115,0.808686539309105,2025-12-01T16:48:28.286991
point,0.6639220442382263,0.6093639705520256,0.5528282791741018,0.5483964997663996,1.3353234797158535,0.5458147324869558,0.3123658697680726,0.1954686711684061,0.9999999999999999,1.2920723252612363,0.22366381258277196,0.17843071526726584,0.8466447645089545,1.2828434276506022,0.1607622967170947,0.16337698662879796,1.0788698916962087,1.0510906076026951,0.1724010921748103,0.10550148144451581,2.265729190810496,2.0294989515159028,1.609872167395599,1.554092033559481,1.818462613463636,2.75408303742554,2.7287550008025128,2.485883648141182,2.188268442114533,2.570127430523025,0.8199543727521847,2025-12-01T16:48:28.319063
